,Brand,Distributor,LinkofProduct,Name,Price,SKU
21,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-300mbps-wi-fi-range-extender-with-ac-passthrough-tl-wa860re.html,TP-Link 300Mbps Wi-Fi Range Extender with AC Passthrough TL-WA860RE,RM99.00,"""TP-TL-WA860RE"";"
22,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-magic-trackpad-2-space-grey.html,Apple Magic Trackpad 2-Space Grey,RM579.00,"""APP-MRMF2ZA/A"";"
23,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-wireless-mobile-mouse-1850-wool-blue-ms-mic-u7z-00015.html,Microsoft Wireless Mobile Mouse 1850 (Wool Blue) MS-MIC-U7Z-00015,RM57.00,"""MS-MIC-U7Z-00015"";"
24,"""Acer"";","""7158"";",https://www.senheng.com.my/acer-15-6-inch-predator-helios-300-ace-ph315-53-791w.html,Acer 15.6 Inch Predator Helios 300 ACE-PH315-53-791W,"RM5,749.00 5,799.00","""ACE-PH315-53-791W"";"
25,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-smart-keyboard-for-ipad-7th-generation-and-ipad-air-3rd-generation-us-english.html,Apple Smart Keyboard for iPad (7th generation) and iPad Air (3rd generation) - US English,RM649.00,"""APP-MX3L2ZA/A"";"
26,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-ac1300-whole-home-mesh-wi-fi-system-deco-m5-2-pack.html,TP-Link AC1300 Whole Home Mesh Wi-Fi System Deco M5(2-pack),RM539.00,"""TP-DECO-M5.2PK"";"
27,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-ac1300-wireless-dual-band-pci-express-wifi-adapter-archer-t6e.html,TP-Link AC1300 Wireless Dual Band PCI Express WiFi Adapter Archer T6E,RM129.00,"""TP-ARCHERT6E"";"
28,"""Acer"";","""7158"";",https://www.senheng.com.my/acer-swift-5-14-inch-laptop-i5-1135g7-8gb-lpddr4x-512gb-pcie-ssd-sf514-55ta-55mw.html,Acer Swift 5 14 Inch Laptop (i5-1135G7/8GB LPDDR4X/512GB PCIe SSD) SF514-55TA-55MW,"RM3,974.00 3,999.00","""ACE-SF514-55TA-55MW"";"
29,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-wired-desktop-600-black.html,Microsoft Wired Desktop 600-Black,RM82.00,"""MS-MIC-APB-00018"";"
30,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-sculpt-comfort-desktop-ms-mic-l3v-00027.html,Microsoft Sculpt Comfort Desktop MS-MIC-L3V-00027,RM328.00,"""MS-MIC-L3V-00027"";"
31,"""Promate"";","""7158"";",https://www.senheng.com.my/promate-laptop-cooling-pad-air-base-2.html,Promate Laptop Cooling Pad Air Base-2,RM159.00,"""PRO-6959144032009"";"
32,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-surface-go-2-platinum.html,Microsoft Surface Go 2 - Platinum,"RM1,955.00","""MS-MIC-GO2-CFG"";"
33,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-ac1300-wireless-dual-band-usb-adapter-archer-t4u.html,TP-Link AC1300 Wireless Dual Band USB Adapter Archer T4U,RM86.00,"""TP-ARCHERT4U"";"
34,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-thunderstorm-aluminum-gaming-mousepad.html,MSI Thunderstorm Aluminum Gaming Mousepad,RM155.00,"""MSI-THUNDER.ALUM"";"
35,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-ac1200-whole-home-mesh-wi-fi-system-deco-m4-v1-2-pack.html,TP-Link AC1200 Whole Home Mesh Wi-Fi System Deco M4 V1 (2-pack),RM399.00,"""TP-DECO-M4.2PK"";"
36,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-ac600-nano-wireless-usb-adapter-archer-t2u-nano.html,TP-Link AC600 Nano Wireless USB Adapter Archer T2U Nano,RM69.00,"""TP-ARCHERT2UNANO"";"
37,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-13-inch-macbook-pro-m1-chip-2020.html,"Apple MacBook Pro (13-inch, M1 chip, 2020)","RM5,599.00","""APP-MACBOOKPRO-M1-2020-CFG"";"
38,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-comfort-mouse-4500.html,Microsoft Comfort Mouse 4500,RM102.00,"""MS-MIC-4FD-00027"";"
39,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-surface-pro-x-keyboard-slim-pen-black-mic-qsw-00015.html,Microsoft Surface Pro X Keyboard + Slim Pen Black MIC-QSW-00015,"RM1,219.00","""MS-MIC-QSW-00015"";"
40,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-gf63-thin-15-6-inch-i5-10300h-8gb-512gb-ssd-gtx1650ti-4g-msi-gf63-9scxr-649my.html,"MSI GF63 Thin 15.6 Inch (i5-9300H/4GB/512GB SSD/GTX1650 Max Q, 4G) MSI-GF63-9SCXR-649","RM3,199.00","""MSI-GF63-9SCXR-649MY"";"
41,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link%20ac1600%20wlan%20telephony%20dsl%20router%20archer%20vr600v.html,TP-Link AC1600 WLAN Telephony DSL Router Archer VR600v,RM339.00,"""TP-ARCHERVR600V"";"
42,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-arc-mouse-bluetooth.html,Microsoft Arc Mouse Bluetooth,RM339.00,"""MS-AMOUSE-CFG"";"
43,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-magic-keyboard-with-numeric-keypad.html,Apple Magic Keyboard with Numeric Keypad,RM489.00,"""APP-MQ052ZA/A"";"
44,"""Huawei"";","""7158"";",https://www.senheng.com.my/huawei-m-pen-lite-stylus-pen-grey.html,HUAWEI M-Pen lite Stylus Pen - Grey,RM169.00,"""HUA-MPEN.LITE"";"
45,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-ac2200-smart-home-mesh-wi-fi-system-decom9-plus-3-pack.html,TP-Link AC2200 Smart Home Mesh Wi-Fi System DecoM9 Plus(3-pack),"RM1,359.00","""TP-DECO-M9PLUS.3PK"";"
46,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-300-mbps-wireless-n-4g-lte-router-tl-mr100.html,TP-Link 300 Mbps Wireless N 4G LTE Router TL-MR100,RM259.00,"""TP-TL-MR100"";"
47,"""HP"";","""7158"";",https://www.senheng.com.my/hp-notebook-14s-cf2039tx-14s-cf2038tx-14-inch-4gb-512gb-ssd-i5-10210u-amd-radeon-530-graphics.html,HP Notebook 14s-cf2039tx / 14s-cf2038tx 14 Inch (4GB/512GB SSD/i5-10210U/AMD Radeon™ 530 Graphics),"RM 2,169.00","""HP-14CF-CFG"";"
